Algorithm Category,Algorithm Name,Dataset Name,Dataset Size,Run Index,Warmup,Time (s),Comparisons,Swaps/Moves,Auxiliary Elements,Status,Error Detail
Counting Sort,counting_sort_stable,reverse_sorted_int,1000,1,False,0.0008594419996370561,0.0,22997.0,10999.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000,0,False,0.0008689219976076856,0.0,22997.0,10999.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000,2,False,0.0008556030006729998,0.0,22997.0,10999.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,1000,3,False,0.000853122997796163,0.0,22997.0,10999.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,10000,0,False,0.008915949001675472,0.0,229963.0,109982.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,10000,-1,True,0.009426689997781068,0.0,229963.0,109982.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,10000,1,False,0.010143401996174362,0.0,229963.0,109982.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,10000,2,False,0.010931575001450256,0.0,229963.0,109982.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,10000,3,False,0.012055969003995415,0.0,229963.0,109982.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,100000,-1,True,0.10092754500510637,0.0,2299939.0,1099970.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,100000,0,False,0.10420488600357203,0.0,2299939.0,1099970.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,100000,1,False,0.10560985099436948,0.0,2299939.0,1099970.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,100000,2,False,0.1068935950024752,0.0,2299939.0,1099970.0,OK,
Counting Sort,counting_sort_stable,reverse_sorted_int,100000,3,False,0.11094963700452354,0.0,2299939.0,1099970.0,OK,
Counting Sort,counting_sort_stable,sorted_int,1000000,0,False,0.8879406010019011,0.0,22999979.0,10999990.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100,-1,True,8.992000221041963e-05,0.0,2269.0,1085.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100,0,False,7.7860000601504e-05,0.0,2269.0,1085.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100,1,False,9.057999704964459e-05,0.0,2269.0,1085.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100,2,False,7.442000060109422e-05,0.0,2269.0,1085.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100,3,False,7.532000017818063e-05,0.0,2269.0,1085.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,1000,-1,True,0.0008894830025383271,0.0,22981.0,10991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,1000,0,False,0.0008698930032551289,0.0,22981.0,10991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,1000,1,False,0.0008582230002502911,0.0,22981.0,10991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,1000,2,False,0.000870012998348102,0.0,22981.0,10991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,1000,3,False,0.0008817630005069077,0.0,22981.0,10991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,10000,-1,True,0.01199719900614582,0.0,229923.0,109962.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,10000,0,False,0.009966572004486807,0.0,229923.0,109962.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,10000,1,False,0.009797491999052,0.0,229923.0,109962.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,10000,2,False,0.009765912000148091,0.0,229923.0,109962.0,OK,
Counting Sort,counting_sort_stable,sorted_int,1000000,-1,True,1.0284024829961709,0.0,22999979.0,10999990.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,10000,3,False,0.010203233003267087,0.0,229923.0,109962.0,OK,
Counting Sort,counting_sort_stable,random_uniform_int,1000000,-1,True,1.2440813979992527,0.0,22999981.0,10999991.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100000,-1,True,0.11298931400233414,0.0,2299993.0,1099997.0,OK,
Counting Sort,counting_sort_stable,partially_sorted_int,100000,0,False,0.12023021700588288,0.0,2299993.0,1099997.0,OK,
Counting Sort,counting_sort_stable,sorted_int,1000000,1,False,1.0883270660051494,0.0,22999979.0,10999990.0,OK,
